"Project","Province","District","Municipality","Capacity (MW)","River","Lic No","Isuue Date","Validity","Promoter","Address","Longitude","Latitude","License Type"
"Badigad HPP","Province 4","BAGLUNG","Dhorpatan","6.6","Badigad","129","9/17/2071","9/16/2106","Water and Energy Nepal Pvt Ltd","P. O. Box : 4610, Panipokhari , Kathmandu, Phone: 01-4435485, Fax: 01-4435485","83.17291667","28.32875","Generation"
"Badigad Khola HPP","Province 4","BAGLUNG","Taman Khola","24.6","Badigad","777","9/14/2073","9/13/2075","Liberty Energy co. Ltd.","Thapathali, KTM, 4238241, 4226946","83.17861111","28.29125","Survey"
"Bagar Khola Hydro-Electric Project","Province 4","MYAGDI","Raghuganga","5.5","Bagar Khola","795","12/13/2073","12/12/2075","Lalita Mahat","Kathmandu Metropolitan City, Ward No. 11 Kathmandu","83.53208333","28.48333333","Survey"
"Bagmati Nadi","Province 3","LALITPUR","Konjyosom","22.0","Bagmati","125","3/19/2071","3/18/2106","Mandu Hydropower Pvt. Ltd.","Kamaladi 13,Kathmandu.Tel no. 4169088","85.24208333","27.52375","Generation"
"Balephi","Province 3","SINDHUPALCHOK","Jugal","23.52","Balephi","191","12/16/2073","12/15/2108","Balephi Jalbidhut Company Ltd","GPO Box:772, Kathmandu Ph. No. 01-4224074,4428732, Fax:01-4266133","85.75833333","27.87833333","Generation"
"Balephi A","Province 3","SINDHUPALCHOK","Jugal","10.6","Balephi","132","1/6/2072","1/5/2107","Moonlight Hydropower Company Pvt. Ltd.","Kamaladi, Kathmandu, Phone 01-4474328,4462844","85.76263889","27.85416667","Generation"
"Balephi Cascade HPP","Province 3","SINDHUPALCHOK","Barhabise","17.22","Balephi","980","10/22/2074","10/21/2076","Moon Light Hydropower Company Pvt. Ltd.","Kalopul-7, Ktm.","85.76805556","27.82666667","Survey"
"Balephi Khola HEP","Province 3","SINDHUPALCHOK","Jugal","42.14","Balephi","894","5/19/2074","5/18/2076","B.G Hydro Investment Co. Ltd.","Durbarmanrga Kathmandu, Phone no 4228816, 4225364","85.7925","27.96666667","Survey"
"Baramchi Khola HPP","Province 3","SINDHUPALCHOK","Barhabise","4.2","Baramchi","33","10/26/2066","10/25/2101","Unique Hydel Pvt Ltd","Thulo Bharyang, Kathmandu Phone 01-4672598,4672599","85.79069444","27.84736111","Operation"
"Begnas- Rupa Storage Project","Province 4","KASKI","Pokhara Lekhnath","150.0","Begnas - Rupa","938","7/23/2074","7/22/2076","Nepal Electricity Authority","Durbar Marg , Kathmandu","84.11458333","28.16875","Survey"
"Betan Karnali HP","Province 7","ACHHAM","Dhakari","688.0","Karnali","820","2/7/2074","2/6/2076","Betan Karnali Sanchayakarta Hydropower Company Ltd","Lalitpur","81.30347222","28.89180556","Survey"
"Bhabil 1 Hydropower Project","Province 3","DHADING","Rubi Valley","13.86","Bhabil Khola","859","3/18/2074","3/17/2076","Khare Investment Limited","Blue star Complex, Tripureshwar Kathmandu, Ph. 01-4101140","85.12083333","28.21097222","Survey"
"Bhairab Kund Khola","Province 3","SINDHUPALCHOK","Bhotekoshi","3.0","Bhairab Kund","30","5/19/2066","5/18/2101","Bhairabkund Hydropower Pvt. Ltd.","Minbhawan Kathmandu, Phone01-4482201, Fax 01-4482008","85.93625","27.93638889","Operation"
"Bhalaudi Khola HEP","Province 4","KASKI","Machhapuchchhre","4.5","Bhalaudi","939","7/23/2074","7/22/2076","Bhalaudi Khola Hydropower Pvt. Ltd.","Banasthali Kathmandu","83.9675","28.38333333","Survey"
"Bheri 4","Province 6","JAJARKOT","Chhedagad","300.0","Bheri","829","2/12/2074","2/11/2076","Bhery Energy Pvt. Ltd","Juwagal-10, Kupondole","82.12083333","28.63958333","Survey"
"Bheri Nadi-8 (BR-8) HEP","Province 6","DOLPA","Kaike","125.0","Bheri","986","11/10/2074","11/9/2076","Dugar Brothers and Sons Pvt. Ltd","Ka. Ma. Na. Pa-10, Kantipath","82.99486111","28.90597222","Survey"
"Bheri-1 HEP","Province 6","RUKUM_W","Aathbiskot","440.0","Bheri","1012","2/15/2075","2/14/2077","Gezhouba Group Power Investment Nepal Pvt. Ltd.","Chuchepati Kathmandu","82.51444444","28.93319444","Survey"
"Bheri-2 HEP","Province 6","JAJARKOT","Tribeni Nalagad","256.0","Bheri","975","9/24/2074","9/23/2076","Gezhouba Group Power Investment Nepal Pvt. Ltd.","Kathmandu, Chuchepati Baudha","82.37791667","28.82291667","Survey"
"Bhim Khola Small HPP","Province 4","BAGLUNG","Galkot","4.96","Bhim Khola","727","3/10/2073","3/9/2075","Shikhar Power Development Pvt.Ltd.","Baneshower, Kathmandu 9851133303","83.24055556","28.28986111","Survey"
"Bhotekoshi 1 Hydropower Project","Province 3","SINDHUPALCHOK","Bhotekoshi","44.0","Bhotekoshi","969","9/11/2074","9/10/2076","Shailung Power Company Pvt. Ltd.","Khumaltar, Lalitpur","85.91902778","27.89791667","Survey"
"Bhotekoshi Khola Hydropower Project","Province 3","RASUWA","Gosaikunda","33.5","Bhote Koshi","1009","2/10/2075","2/9/2077","Pawan Kumar Golyan","Rangeli, Morang, Phone no 014671201","85.34583333","28.17083333","Survey"
"Bhurundi Khola Small HPP","Province 4","KASKI","Annapurna","4.73","Bhurundi Khola","837","2/21/2074","2/20/2076","Yadav Raj Mainali","Kathmandu-09, Battisjputali","83.76333333","28.31763889","Survey"
"Bijayapur-1","Province 4","KASKI","Madi","4.5","Bijayapur","34","12/22/2066","12/21/2101","Bhagawati Hydropower Development Company","0","84.03291667","28.18375","Operation"
"Bijaypur Khola-2 HPP","Province 4","KASKI","Pokhara Lekhnath","4.5","Bijaypur","166","4/25/2073","4/24/2108","Civil hydropower company","Lekhanath Nagarpalika, Phone no 0610465562, email : civilhydropower@gmail.com","84.03833333","28.16486111","Generation"
"Botekoshi 5 HYDROPOWER PROJECT","Province 3","SINDHUPALCHOK","Bhotekoshi","62.0","Bhotekoshi","641","7/26/2069","12/19/2075","KALIKA ENERGY PVT LTD","Bharatpur-10, Chitwan, Tel: 056-522440,520456, PBN 21534; FX 4439155","85.88375","27.78902778","Survey"
"Brahmayani HPP","Province 3","SINDHUPALCHOK","Jugal","40.0","Balefi Khola","836","2/23/2074","2/22/2076","Ekikrit Byapar Company Pvt. Ltd.","Chakupat-15, Lalitpur","85.76916667","28.04722222","Survey"
"Budhi Gandaki Hydropower Project","Province 4","GORKHA","Dharche","341.0","Budhi Gandaki","601","1/14/2068","1/28/2076","Times Enery Pvt. Ltd","Baneswor Kathmandu, 01-4460606, 9851024986","84.89930556","28.325","Survey"
"Budhi Gandaki Kha HEP","Province 4","GORKHA","Dharche","260.0","Budhigandaki","988","12/8/2074","12/7/2076","Nilgiri Khola Hydropower Company Limited","Kamaladi, Kathmandu","84.86666667","28.17722222","Survey"
"Budhi Gandaki Nadi HPP","Province 4","GORKHA","Chum Nubri","91.15","Budhi Gandaki","931","7/15/2074","7/14/2076","Surya Energy Pvt.Ltd,","Mharajgunj, Kathmandu","84.88472222","28.46402778","Survey"
"Budhi Gandaki Prok Khola HEP","Province 4","GORKHA","Chum Nubri","420.0","Budhi Gandaki","902","5/26/2074","5/25/2076","Chilime Hydropower Company Limited","Dhumbarahi, Kathmandu, 01-4370720","84.80833333","28.54694444","Survey"
"Budum","Province 1","SANKHUWASABHA","Silichong","11.8","budum","916","0/1/0","6/30/2076","Arun Valley Hydropower Development Company Pvt. Ltd.","Thapathali, Kathmandu, phone no 5111085","86.84791667","27.48652778","Survey"
"Buku Khola","Province 3","RAMECHHAP","Umakunda","6.0","Buku","216","9/25/2074","9/24/2109","Apolo Hydropower Pvt.Ltd","Lalitpur, phone: 5201375","86.36236111","27.51972222","Generation"
"Buku-Kapati Hydropower Project","Province 1","SOLUKHUMBU","Solududhakunda","5.0","Buku","203","5/8/2074","5/7/2109","Him Star Urja Company Pvt. Ltd.","Baluwatar-4, Kathmadu. PO Box : 20762, Phone no 4167507, 6911637","86.38944444","27.51111111","Generation"
"Chainpur Seti","Province 7","BAJHANG","Talkot","210.0","Seti Khola","867","3/30/2074","3/29/2076","Nepal Electricity Authority","Durbar Marg , Kathmandu","81.30208333","29.675","Survey"
"Chake Khola","Province 3","RAMECHHAP","Umakunda","2.83","Chake Khola","114","11/21/2070","11/20/2105","Garjang Upatyaka HP Company Limited","Khusibu, Ward No. 17, KTM","86.33708333","27.62972222","Operation"
"Chaku Khola","Province 3","SINDHUPALCHOK","Bhotekoshi","3.0","Chaku","17","11/4/2061","11/3/2096","Alliance Power Nepal P.Ltd","0","85.92083333","27.875","Operation"
"Chameliya Khola","Province 7","DARCHULA","Shailyashikhar","30.0","Chameliya Khola","20","9/4/2063","9/3/2098","Nepal Electricity Authority","0","80.69166667","29.70833333","Operation"
"Charnawati Khola Hydroelectric Project","Province 3","DOLAKHA","Bigu","3.52","Charnawati","40","8/17/2067","8/16/2102","Nepal Hydro Developer Pvt Ltd","Baneswar-10, Kathmandu, Tel; 4441131, Fax: 014441973,POB: 26435","86.02791667","27.64305556","Operation"
"Chauri Khola","Province 3","DOLAKHA","Bhimeshwor","5.0","Chauri","156","1/14/2073","1/13/2108","Chauri Hydropower P Ltd","Anamnagar-32 , KTM, Ph: 014102696, Fax 4102696, email - chaurihydro@gmail.com","85.87652778","27.60763889","Generation"
"Chepe Khola HPP","Province 4","LAMJUNG","Dudhpokhari","7.0","Chepe Khola","707","8/16/2072","8/15/2075","Champawati Hydro Power P.Ltv","Kathmandu -14 Balkhu,4036085,4036086","84.5675","28.12958333","Survey"
"Chepe Khola Small Hydropower Project","Province 4","GORKHA","Ajirkot","8.63","Chepe Khola","843","2/24/2074","2/23/2076","Aashutosh Investment Pvt. Ltd.","KMC-16, Kathmandu, 01-4359237 (Jivraj Kandel)","84.63763889","28.19708333","Survey"
"Chhandi Khola","Province 4","LAMJUNG","Dordi","2.0","Chhandi","103","5/24/2070","5/23/2105","Chhyandi Hydropower Co. P. Ltd","Ph: 014424925, 9851095497, 014426483","84.47888889","28.26055556","Operation"
"Chhomron Khola Small Hydro Power Project","Province 4","KASKI","Annapurna","3.914","Chhomron Khola","872","4/8/2074","4/7/2076","Ghandruk Hydro Private Limited","Banasthali, Kathmandu-16, Kathmandu","83.82736111","28.43194444","Survey"
"Chhote khola","Province 4","GORKHA","Aarughat","0.993","Chhote","0","7/4/2060","0/1/0","Pashupati Environmental Engineering Company Pvt. Ltd.","Kaldhara, Kathmandu, P.O. Box: 8975 EPC 5308 Phone : 4361915","84.89416667","28.17236111","Operation"
"Chilime","Province 3","RASUWA","Gosaikunda","22.0","Chilime","6","4/26/2054","11/30/2104","Chilime Hydropower Company Limited","0","85.31958333","28.16972222","Operation"
"Chino Khola HEP","Province 4","MANANG","Nashong","8.5","Chino","1018","3/4/2075","3/3/2077","Butwal Power Company","Budhhanagar, Kathmandu","84.33097222","28.54375","Survey"
"Chisang Khola -A Small Hydropower Project","Province 1","PANCHTHAR","Miklajung","1.8","Chisang","676","12/9/2070","12/8/2075","Chisang Hydro Pvt Ltd","Kirtipur-17, Kathmandu, Tel: 9841617469","87.48944444","26.82111111","Survey"
"Chujung Khola HEP","Province 1","SANKHUWASABHA","Bhotkhola","48.0","Chujung","1023","4/20/2075","4/19/2077","Sangrila Urja Pvt. Ltd","Babarmahal, Kathmandu","87.47680556","27.75611111","Survey"
"ChulepuKhola Hydropower Project","Province 3","RAMECHHAP","Umakunda","8.52","Chulepu,Dhunde Khola","155","1/13/2073","1/12/2108","Chandeswari Mahadev Khola Micro Hydro Com.P.Ltd.","Madhyapur Thimi 15, Kausaltar,Bhaktapur 6630660,9851088190","86.28069444","27.50527778","Generation"
"Chunchet Syar Khola HEP","Province 4","GORKHA","Chum Nubri","60.0","Syar Khola","993","12/25/2074","12/24/2076","Chilime Hydropower Company Limited","Dumbarahi Kathmandu, 014370773, 01-4370793","84.93361111","28.45763889","Survey"
"Chyandi Khola","Province 4","LAMJUNG","Dudhpokhari","5.1","Chyandi Khola","854","3/15/2074","3/14/2076","Puspa Duwadi","Bichour VDC-1, 9841285734","84.62777778","28.22652778","Survey"
"Dadagau Khalanga Bheri Hydropower Project","Province 6","JAJARKOT","Bheri","128.0","Bheri","806","1/10/2074","1/9/2076","Gezhouba Group Power Investment Nepal Pvt. Ltd.","Boudha, Kathmandu 6, Nepal. mob: 9818349684,9803435888","82.27277778","28.73958333","Survey"
"Dana Khola Hydropower Project","Province 4","MANANG","Nashong","19.0","Dana Khola","941","7/26/2074","7/25/2076","Lalupate Hydropower Company Pvt. Ltd.","Kathmandu Metropolitan City, Ward No. 07, Lampokhari Marg, Kathmandu, 9841584500, 9851052451","84.37791667","28.51555556","Survey"
"Daram Khola HEP","Province 5","GULMI","Musikot","7.3","Daram","183","10/23/2073","10/22/2108","Daram Khola Hydro Energy Limited","Baglung, Nepal Phone: 9851012086, 9857622240, 068-690939, email : daramkholahydroenergy@gmail.com","83.33930556","28.19583333","Generation"
"Daram Khola-A","Province 4","MYAGDI","Mangala","2.5","Daram","89","2/2/2070","2/1/2105","Sayapatri Hydropower Pvt. Ltd.","Gongabu-29 Kathmandu, Phone 01-4364009","83.41625","28.28847222","Operation"
"Daraundi A","Province 4","GORKHA","Sulikot","6.0","Daraundi","62","2/16/2069","2/15/2104","Daraundi Kalika Hydro","Samakhusi, Kathmandu, Nepal. Ph: 4360076","84.67722222","28.1225","Operation"
"Daraundi-1","Province 4","GORKHA","Aarughat","10.0","Daraundi","158","2/26/2073","2/5/2108","Diamond Hydropower Pvt. Ltd","Babarmahal, Kathmandu. Po. Box no 21287, Phone no 44442330, Email durga_amagain@yahoo.com","84.65722222","28.07763889","Generation"
"Darkhola Small HPP","Province 4","MYAGDI","Dhaulagiri","4.64","Dar Khola","804","1/10/2074","1/9/2076","Darkhola Hydropower Pvt. Ltd.,","Ktm 29 Samakhushi, Phone 4388581, 9851140372","83.32597222","28.50555556","Survey"
"Devdhunga Chaku Khola HEP","Province 3","SINDHUPALCHOK","Bhotekoshi","3.56","Chaku and Devdhunga","974","9/21/2074","9/20/2076","Devdhunga Malika Hydropower Pvt. Ltd","New Baneshwor, Kathmandu, 9851229755, 01-4480251","85.98194444","27.86194444","Survey"
"Devighat","Province 3","NUWAKOT","Panchakanya","14.1","Trishuli","1_gtd","12/6/2051","11/30/2101","Nepal Electricity Authority","0","85.13888889","27.90222222","Operation"
"Dhansi Khola Mini","Province 5","ROLPA","Rolpa","0.996","Dhansi","0","7/30/2067","0/1/0","M/S Teleye Samyak Hydropower Co. Pvt. Ltd. ( Anand Pradhan)","Lazimpat-2, House No: 86, Kathmandu, P.O. Box: 8643, Tel: 9841259058","82.64486111","28.32","Generation"
"Dhaula Khola HEP","Province 4","MYAGDI","Dhaulagiri","9.5","Dhaula","983","11/11/2074","11/10/2076","Dhaulashree Power Pvt. Ltd","Ka. Ma. Na. Pa- 03, Kathmandu","83.26125","28.57861111","Survey"
"Dhauligad Sunakhani Bagar SHP","Province 7","BAJHANG","JayaPrithivi","0.99","Dhauligad","0","3/6/2073","3/5/2075","Khecheswor Jalvidyut Co P Ltd, Bhajhang","Contact address: Bishal nagar Kathmandu, 4410184, 4421204, 9841298479","81.16055556","29.45097222","Survey"
"Dhunge - Jiri","Province 3","DOLAKHA","Gaurishankar","0.6","Dhunge Khola","0","3/24/2070","0/1/0","Dronachal Hydropower Company Pvt. Ltd.","Sanepa Lalitpur, Phone 01-5522297, 9841262909","86.23055556","27.63652778","Generation"
"dobhan Khola HPP","Province 4","GORKHA","Chum Nubri","16.0","Dobhan Khola","1008","2/9/2075","2/8/2077","Upper Syange Hydropower Ltd","Chandol-4, Kathmandu, Phone no 4442860","84.92777778","28.28888889","Survey"
"Dordi Dudh Khola Small Hydropower","Province 4","LAMJUNG","Dordi","20.8","Dordi","745","7/3/2073","7/2/2075","Amar Nath Shrestha","Budhabare-9, Jhapa, Tel 4354727,9851026084","84.60069444","28.35444444","Survey"
"Dordi Khola","Province 4","LAMJUNG","Sundarbazar","27.0","Dordi","48","3/23/2068","3/22/2103","Himalaya Power Partner Pvt. Ltd","POB 8975 EPC 4205 Marajaganj,Kathmandu,nepal Phoneand Fax: 4375874","84.45416667","28.19611111","Generation"
"Dordi-1","Province 4","LAMJUNG","Dordi","10.3","Dordi","82","10/12/2069","10/11/2104","Dordi Khola Jalvidyut Company Limited","Tripushwor, Kathmandu, P.O. Box: 20290, Ph:4232748, 4232749, Fax: 4232750","84.46388889","28.23944444","Generation"
"Down Piluwa","Province 1","SANKHUWASABHA","Panchakhapan","9.5","Piluwa Khola","113","11/4/2070","11/3/2105","River Falls Hydropower Development P. Ltd.","P.O.Box, 14165, Anamnagar, Kathmandu, Phone 01-4238159, Fax 01-4102651","87.28472222","27.24583333","Generation"
"Dudh Khola Dordi HPP","Province 4","LAMJUNG","Dordi","5.0","Dudh Khola","860","3/22/2074","3/21/2076","Cheef Bahadur Thapa","kathmandu-3,Srijansil Marg, Nepal. 9851087501,4229124","84.60638889","28.37583333","Survey"
"Dudh khola HPP","Province 4","MANANG","Nashong","65.0","Dudh Khola","818","2/4/2074","2/3/2076","Sita Hydropower Company Pvt.Ltd.","Kathmandu 13 kalimati,, Sitaram Timilsina","84.37708333","28.53944444","Survey"
"Dudh Khola Small HPP","Province 4","GORKHA","Chum Nubri","5.0","Dudh Khola","917","6/24/2074","6/23/2076","Mahendra Bahadur Baniya","Balkhu Kathmandu, Phone no 4785923, 4278134, 9851073403","84.6275","28.36486111","Survey"
"Dudhkoshi 10 HEP","Province 1","SOLUKHUMBU","Khumbupasanglahmu","75.0","Dudhkoshi","868","4/2/2074","4/1/2076","Lotus Investment Pvt. Ltd","Lazimpat 2, Kathmandu","86.71666667","27.77263889","Survey"
"Dudhkoshi-6 HEP","Province 1","SOLUKHUMBU","Khumbupasanglahmu","83.0","Dudh Koshi","717","12/2/2072","12/1/2075","Yeti Trade and Developers Pvt. Ltd.","Gongabu-29, Kathmandu.","86.7125","27.68277778","Survey"
"Dudhkoshi-9 HPP","Province 1","SOLUKHUMBU","Khumbupasanglahmu","111.0","Dudhkoshi","785","11/2/2073","11/1/2075","Urja Developers Pvt.Ltd.","Tripureshwor-11, Kathmandu,Po Box 1223 Kathamandu, 9851022915,9851036606,9851059177","86.71666667","27.72555556","Survey"
"Dudhkunda Khola HPP","Province 1","SOLUKHUMBU","Khumbupasanglahmu","12.0","Solu Khola","793","12/8/2073","12/7/2075","Mount Everest Power Development P.Ltd.","Mahalaxmisthan , Lalitpur-13, Ph. 01-5523784,5527469, 9851039258(Arjun Paudel)","86.60555556","27.60208333","Survey"
"Dudhpokhari Chepe HEP","Province 4","GORKHA","Ajirkot","8.836","Chepe Khola","935","7/21/2074","7/20/2076","Dudhpokhari Chepe Hydropower Pvt. Ltd","Kathmandu-10, 01-4004103, Contact person- Kiran Shrestha 9851157962","84.65763889","28.26583333","Survey"
"Durbang Myagdi Khola","Province 4","MYAGDI","Mangala","25.0","Myagdi Khola","130","11/4/2071","11/3/2106","Dhaulagiri Kalika Hydropower P Ltd","Kathmandu-6,, Banasthali, Phone no 4353348, 9851044986","83.40694444","28.41458333","Generation"
"Dwari Khola SHP","Province 6","JAJARKOT","Junichande","3.75","Dwari","124","2/26/2071","2/25/2106","Bhugol Energy Development Company Pvt Ltd","Kupandole, Lalitpur, Tel: 9841488723,9841505699","81.82847222","28.93166667","Operation"
"Elun Khola","Province 1","OKHALDHUNGA","Molung","0.485","Elun Khola","0","12/11/2072","0/1/0","Suresh Kumar Shrestha","Okhalthunga. P O no.5813,kathmandu","86.38847222","27.39319444","Survey"
"Feme khola","Province 1","PANCHTHAR","Falelung","0.995","Pheme","0","1/25/2063","0/1/0","Khoranga Khola Hydropower Development Company Pvt. Ltd.","0","87.79277778","27.14763889","Operation"
"Galkot Daram Hydroectric Project","Province 4","BAGLUNG","Kanthekhola","5.0","Daram","739","6/7/2073","6/6/2075","Galkot Daram Hydropower Ltd.","Thapathali, Kathmandu, Phone no 4232733, 9860009358","83.40708333","28.2125","Survey"
"Gamari Gad HEP","Province 5","RUKUM_E","Dhorpatan Hunting Reserve","4.36","Gamari Gad","827","2/10/2074","2/9/2076","Ram Prasad Acharya","Bijuli- 6 Pyuthan 9851145001, 01-4601672","82.79888889","28.67791667","Survey"
"Gandak","Province 5","NAWALPARASI_W","Pratappur","15.0","Narayani","1_gtd","12/6/2051","11/30/2101","Nepal Electricity Authority","0","83.86291667","27.44680556","Operation"
"Gapuche Madi Nadi HEP","Province 4","MANANG","Chame","24.0","Madi","1022","3/18/2075","3/17/2077","Empower Hydropower Pvt. Ltd.","Kaski","84.11666667","28.43472222","Survey"
"Garjan Khola Small HPP","Province 3","DOLAKHA","Jiri","0.9","Garjan Khola","0","12/31/2073","12/30/2075","Ice Land Power Pvt.ltd.","Kathmandu-35,Jadibuti 4472160. 9843312689","86.33569444","27.64958333","Survey"
"Gasali Khola Small HEP","Province 3","DHADING","Rubi Valley","4.5","Gasali","955","8/12/2074","8/11/2076","Himshila Power Company Pvt Ltd","Babarmahal, Kathmandu, 01-4222934, 01-4225281","85.03555556","28.08305556","Survey"
"Gelun Khola HPP","Province 3","SINDHUPALCHOK","Barhabise","3.2","Gelun","93","2/6/2070","2/5/2105","Gelun Khola Hydropower Company Pvt Ltd","Baneswar, Kathmandu Tel: 4492150","85.79791667","27.83472222","Generation"
"Ghalemdi Khola","Province 4","MYAGDI","Annapurna","5.0","Ghalemdi","110","9/14/2070","9/13/2105","Ghalemdi Hydro Limited","P.O.Box 9560, Banasthatli, Kathmandu; Tel. 014362520; 69521079; ghalemdi@gmail.com","83.6875","28.53333333","Generation"
"Ghar Khola","Province 4","MYAGDI","Annapurna","8.3","Ghar","137","3/11/2072","3/10/2107","Myagdi Hydropower Pvt. Ltd.","Pardi Pokhara, Phone 061-463429","83.65277778","28.46736111","Generation"
"Ghatte Khola","Province 3","DOLAKHA","Gaurishankar","5.0","Ghatte Khola","138","3/24/2072","3/23/2107","Mankamana Engineering HP","P.O.Box. 8020, Kathmandu,4785771","86.29652778","27.78041667","Generation"
"Ghatte Khola Small HPP","Province 3","SINDHUPALCHOK","Bhotekoshi","0.99","Ghatte Khola","0","0/1/0","0/1/0","Gaun Ghar Ujjyalo Small Hydropower Co Lt.","Gatthaghar, Bhaktapur, Phone no. 6635391","85.73694444","27.89083333","Survey"
"Ghunsa Khola HPP","Province 1","TAPLEJUNG","Phaktanglung","155.82","Ghunsa khola","991","12/13/2074","12/12/2076","RM Investment Company Pvt. Ltd.","New Baneshor, Ktm, Nepal, Ph. No. 4781891","87.89236111","27.6125","Survey"
"Ghunsa Khola HPP","Province 1","TAPLEJUNG","Phaktanglung","71.5","Ghunsa Khola","737","4/18/2073","4/17/2076","Remit Hydro Ltd","Babarmahal, Kathmandu-11,4257024,4257025,9851084895 fax4251060","87.83305556","27.54805556","Survey"
"Ghunsa-Tamor HPP","Province 1","TAPLEJUNG","Phaktanglung","43.0","Tamor","812","1/29/2074","1/28/2076","Nepal Hydro Venture Pvt.Ltd.","Bluestar Hotel complex, Thapathali, Kathmandu. PO Box 23585","87.79791667","27.54416667","Survey"
"Gidi Khola HEP","Province 6","JUMLA","Tatopani","9.0","Gidi","1001","1/7/2075","1/6/2077","Himal Group of Energy Pvt. Ltd","United World Trade Center, Tripureshwor, Kathmandu, 9851053161 Himal Gurung","82.1675","29.20930556","Survey"
"Gochyang Khola Small HEP","Province 3","RASUWA","Naukunda","0.8","Gochyang (Pung) Khola","0","0/1/0","0/1/0","Ram kaji Pandit","Tadi Rural Municipality, Nuwakot, 9841893002","85.28111111","28.00180556","Survey"
"Gohare (Ichowk) SHP","Province 3","SINDHUPALCHOK","Panchpokhari Thangpal","0.95","Gohora","0","12/8/2074","0/1/0","Ichowk Hydropower Pvt. Ltd.","Ratopul, Kathmandu, Phone no 9851120651","85.50763889","27.94333333","Generation"
"Gudrung Khola Small HPP","Province 5","ARGHAKHANCHI","Sitganga","0.8","Gudrung Khola","0","1/31/2073","0/1/0","Ranikuwa International Hydropower Com.Pvt.","Siddhara_5, Arghakhanchi","83.04027778","27.78263889","Survey"
"Gulandi Khola SHP","Province 4","BAGLUNG","Jaimuni","0.98","Gulandi","0","2/16/2075","0/1/0","Jhilimili Hydropower Company Pvt. Ltd.","Pokhara-11, Kaski, Phone: 9856029779","83.55361111","28.06708333","Generation"
"Gumu Khola HEP","Province 3","DOLAKHA","Bigu","0.95","Gumu Khola","0","5/20/2073","5/19/2075","Gumu Khola Bhyakure Hydropower P.Ltd. (Mitra Bahadur Shrestha)","Ward No.7 Khare VDC, Dolakha","86.12708333","27.72083333","Survey"
"Hewa A Small HEP","Province 1","PANCHTHAR","Yangwarak","5.0","Hewa Khola","235","4/14/2075","4/13/2110","Habitat Power Company Pvt. Ltd","01-4469808, 9841531682","87.86875","27.18583333","Generation"
